PRCP, Precipitation (tenths of mm)
SX33, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX43, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX53, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX63, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX73, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX83, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 20 cm
SX04, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX14, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX24, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX34, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX44, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX54, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX64, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX74, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX84, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 50 cm
SX05, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX15, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX25, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX35, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX45, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX55, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX65, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX75, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX85, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 100 cm
SX06, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX16, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX26, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX36, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX46, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX56, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX66, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX76, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX86, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 150 cm
SX07, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX17, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX27, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX37, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX47, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX57, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX67, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX77, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
SX87, Maximum soil temperature (tenths of degrees C) code for ground: unknown cover and code for soil depth: 180 cm
TAVG, Average temperature (tenths of degrees C) [Note that TAVG from source 'S' corresponds to an average for the period ending at 2400 UTC rather than local midnight]
THIC, Thickness of ice on water (tenths of mm)
TOBS, Temperature at the time of observation (tenths of degrees C)
TSUN, Daily total sunshine (minutes)
WDF1, Direction of fastest 1-minute wind (degrees)
WDF2, Direction of fastest 2-minute wind (degrees)
WDF5, Direction of fastest 5-second wind (degrees)
WDFG, Direction of peak wind gust (degrees)
WDFI, Direction of highest instantaneous wind (degrees)
WDFM, Fastest mile wind direction (degrees)
WDMV, 24-hour wind movement (km)
WESD, Water equivalent of snow on the ground (tenths of mm)
WESF, Water equivalent of snowfall (tenths of mm)
WSF1, Fastest 1-minute wind speed (tenths of meters per second)
WSF2, Fastest 2-minute wind speed (tenths of meters per second)
WSF5, Fastest 5-second wind speed (tenths of meters per second)
WSFG, Peak gust wind speed (tenths of meters per second)
WSFI, Highest instantaneous wind speed (tenths of meters per second)
WSFM, Fastest mile wind speed (tenths of meters per second)
WT01, Weather Type Fog, ice fog, or freezing fog (may include heavy fog)
WT02, Weather Type Heavy fog or heaving freezing fog (not always distinquished from fog)
WT03, Weather Type Thunder
WT04, Weather Type Ice pellets, sleet, snow pellets, or small hail
WT05, Weather Type Hail (may include small hail)
WT06, Weather Type Glaze or rime
WT07, Weather Type Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction
WT08, Weather Type Smoke or haze
WT09, Weather Type Blowing or drifting snow
WT10, Weather Type Tornado, waterspout, or funnel cloud
WT11, Weather Type High or damaging winds
WT12, Weather Type Blowing spray
WT13, Weather Type Mist
WT14, Weather Type Drizzle
WT15, Weather Type Freezing drizzle
WT16, Weather Type Rain (may include freezing rain, drizzle, and freezing drizzle)
WT17, Weather Type Freezing rain
WT18, Weather Type Snow, snow pellets, snow grains, or ice crystals
WT19, Weather Type Unknown source of precipitation
WT21, Weather Type Ground fog
WT21, Weather Type Ice fog or freezing fog
WV01, Weather in the Vicinity Fog, ice fog, or freezing fog (may include heavy fog)
WV03, Weather in the Vicinity Thunder
WV07, Weather in the Vicinity Ash, dust, sand, or other blowing obstruction
WV18, Weather in the Vicinity Snow or ice crystals
WV20, Weather in the Vicinity Rain or snow shower
